Infinite-ISP Performance & Accuracy Analysis Report
====================================================

Dataset: Mediatek RAW -> Fujifilm Ground Truth
Number of images: 2417
Total Processing Time: 1104.0592 seconds
Average Time Per Image: 0.4568 seconds
Overall FPS: 2.19 Frames/Second
Average PSNR: 20.8483 dB
Average SSIM: 0.765946

Individual Results:
Filename             | Time(s) | FPS | PSNR(dB) | SSIM
---------------------|---------|-----|----------|------
100.png              | 0.4436 | 2.25 | 17.28 | 0.7752
1000.png             | 0.4380 | 2.28 | 18.55 | 0.8403
10002.png            | 0.4376 | 2.28 | 24.25 | 0.9726
10013.png            | 0.4385 | 2.28 | 21.96 | 0.6707
1002.png             | 0.4415 | 2.27 | 21.67 | 0.8207
10021.png            | 0.4433 | 2.26 | 27.83 | 0.8736
10024.png            | 0.4385 | 2.28 | 21.95 | 0.8189
10026.png            | 0.4473 | 2.24 | 22.70 | 0.8538
10029.png            | 0.4427 | 2.26 | 22.02 | 0.8499
10046.png            | 0.4411 | 2.27 | 21.33 | 0.7837
10051.png            | 0.4342 | 2.30 | 20.90 | 0.7394
10056.png            | 0.4411 | 2.27 | 22.83 | 0.7621
10077.png            | 0.4392 | 2.28 | 18.22 | 0.8290
10085.png            | 0.4341 | 2.30 | 24.40 | 0.8214
10103.png            | 0.4388 | 2.28 | 23.74 | 0.5970
10105.png            | 0.4432 | 2.26 | 22.97 | 0.9309
10108.png            | 0.4373 | 2.29 | 14.39 | 0.6146
10119.png            | 0.4357 | 2.30 | 16.19 | 0.7251
10129.png            | 0.4397 | 2.27 | 25.16 | 0.6139
10132.png            | 0.4423 | 2.26 | 16.15 | 0.8261
10133.png            | 0.4447 | 2.25 | 19.79 | 0.8342
10137.png            | 0.4410 | 2.27 | 18.49 | 0.7449
10138.png            | 0.4402 | 2.27 | 19.91 | 0.6025
10147.png            | 0.4403 | 2.27 | 18.96 | 0.8349
10154.png            | 0.4454 | 2.25 | 22.31 | 0.7695
10160.png            | 0.4457 | 2.24 | 19.90 | 0.8107
1018.png             | 0.4408 | 2.27 | 26.01 | 0.8864
10206.png            | 0.4374 | 2.29 | 28.66 | 0.9124
1021.png             | 0.4411 | 2.27 | 25.21 | 0.8109
10226.png            | 0.4426 | 2.26 | 25.41 | 0.8771
10227.png            | 0.4397 | 2.27 | 26.07 | 0.8899
10234.png            | 0.4431 | 2.26 | 22.59 | 0.6315
10245.png            | 0.4427 | 2.26 | 12.49 | 0.3230
10264.png            | 0.4332 | 2.31 | 22.78 | 0.7556
10268.png            | 0.4397 | 2.27 | 16.04 | 0.6806
10273.png            | 0.4389 | 2.28 | 27.87 | 0.9842
10306.png            | 0.4447 | 2.25 | 16.61 | 0.5580
10320.png            | 0.4386 | 2.28 | 21.64 | 0.6843
10334.png            | 0.4426 | 2.26 | 21.13 | 0.8178
10342.png            | 0.4423 | 2.26 | 16.10 | 0.6704
10357.png            | 0.4359 | 2.29 | 30.60 | 0.9850
10366.png            | 0.4375 | 2.29 | 20.95 | 0.6084
10370.png            | 0.4475 | 2.23 | 20.44 | 0.6876
10377.png            | 0.4379 | 2.28 | 26.07 | 0.8479
10382.png            | 0.4395 | 2.28 | 24.91 | 0.8671
10383.png            | 0.4419 | 2.26 | 22.60 | 0.8888
10410.png            | 0.4371 | 2.29 | 16.93 | 0.6141
10413.png            | 0.4394 | 2.28 | 22.70 | 0.7837
10419.png            | 0.4447 | 2.25 | 21.95 | 0.9715
10426.png            | 0.4340 | 2.30 | 25.15 | 0.8327
1045.png             | 0.4442 | 2.25 | 24.18 | 0.7504
10456.png            | 0.4394 | 2.28 | 17.97 | 0.9440
10462.png            | 0.4390 | 2.28 | 15.45 | 0.9101
10465.png            | 0.4420 | 2.26 | 15.79 | 0.9033
10468.png            | 0.4426 | 2.26 | 22.34 | 0.8744
10475.png            | 0.4453 | 2.25 | 21.01 | 0.8321
10479.png            | 0.4453 | 2.25 | 18.49 | 0.6869
10487.png            | 0.4362 | 2.29 | 22.93 | 0.7545
10505.png            | 0.4429 | 2.26 | 24.47 | 0.8554
10516.png            | 0.4430 | 2.26 | 24.24 | 0.8275
10528.png            | 0.4450 | 2.25 | 21.17 | 0.8458
10529.png            | 0.4371 | 2.29 | 24.51 | 0.9240
1054.png             | 0.4459 | 2.24 | 19.89 | 0.7154
10546.png            | 0.4395 | 2.28 | 20.72 | 0.7971
10559.png            | 0.4400 | 2.27 | 21.97 | 0.7090
10560.png            | 0.4388 | 2.28 | 14.59 | 0.4798
10564.png            | 0.4415 | 2.26 | 17.98 | 0.7655
10565.png            | 0.4381 | 2.28 | 18.73 | 0.7483
10568.png            | 0.4393 | 2.28 | 26.08 | 0.8314
1057.png             | 0.4451 | 2.25 | 15.90 | 0.9604
10570.png            | 0.4400 | 2.27 | 16.95 | 0.7033
10582.png            | 0.4460 | 2.24 | 19.22 | 0.5462
10595.png            | 0.4500 | 2.22 | 20.29 | 0.6709
10598.png            | 0.4472 | 2.24 | 21.40 | 0.6420
10602.png            | 0.4457 | 2.24 | 23.84 | 0.8223
10604.png            | 0.4481 | 2.23 | 22.00 | 0.6467
10605.png            | 0.4451 | 2.25 | 26.14 | 0.5488
10613.png            | 0.4506 | 2.22 | 14.60 | 0.5961
10616.png            | 0.4452 | 2.25 | 20.58 | 0.8673
10619.png            | 0.4421 | 2.26 | 22.07 | 0.8149
10622.png            | 0.4547 | 2.20 | 19.01 | 0.8481
10631.png            | 0.4512 | 2.22 | 23.60 | 0.7061
10633.png            | 0.4493 | 2.23 | 24.86 | 0.6735
10654.png            | 0.4393 | 2.28 | 24.71 | 0.8178
10672.png            | 0.4479 | 2.23 | 27.05 | 0.7154
10677.png            | 0.4480 | 2.23 | 17.88 | 0.7851
10697.png            | 0.4513 | 2.22 | 17.27 | 0.6253
10724.png            | 0.4464 | 2.24 | 15.63 | 0.7187
10730.png            | 0.4479 | 2.23 | 18.97 | 0.8163
10736.png            | 0.4446 | 2.25 | 20.09 | 0.7407
1074.png             | 0.4441 | 2.25 | 18.18 | 0.8137
10742.png            | 0.4458 | 2.24 | 21.74 | 0.7721
10744.png            | 0.4407 | 2.27 | 20.26 | 0.5417
10758.png            | 0.4464 | 2.24 | 18.61 | 0.8795
